Id,Label,timeset,group,calls,time,memory_in,memory_out
matplotlib.fontconfig_pattern.FontconfigPatternParser.parse,matplotlib.fontconfig_pattern.FontconfigPatternParser.parse,,matplotlib,9,0.017108,0,0
inspect._findclass,inspect._findclass,,inspect,2184,0.01691,0,0
inspect._is_wrapper,inspect._is_wrapper,,inspect,9650,0.016794,0,0
Lab.Gridpoint.Is_Forbidden,Lab.Gridpoint.Is_Forbidden,,Lab,1475,0.016788,0,0
matplotlib.rcsetup.cycler,matplotlib.rcsetup.cycler,,matplotlib,16,0.016749,0,0
numpy.core._add_newdocs_scalars.add_newdoc_for_scalar_type,numpy.core._add_newdocs_scalars.add_newdoc_for_scalar_type,,numpy,24,0.016561,0,0
Lab.Droplet.Get_Loc,Lab.Droplet.Get_Loc,,Lab,4930,0.0165,0,0
pandas.core.window.ewm.<module>,pandas.core.window.ewm.<module>,,pandas,1,0.016303,0,0
pandas.core.computation.check.<module>,pandas.core.computation.check.<module>,,pandas,1,0.016225,0,0
Lab.Cartesian_Dist,Lab.Cartesian_Dist,,Lab,414,0.016109,0,0
re.match,re.match,,re,1392,0.015993,0,0
pandas.core.dtypes.common.<module>,pandas.core.dtypes.common.<module>,,pandas,1,0.015732,0,0
numpy.core._add_newdocs_scalars.<genexpr>,numpy.core._add_newdocs_scalars.<genexpr>,,numpy,75,0.015462,0,0
pandas.core.reshape.concat.<module>,pandas.core.reshape.concat.<module>,,pandas,1,0.015446,0,0
